"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"15","ReportingUnit.2","Two","RockCover.Eval","Suitable",5,3.71810183308315,1.70072234502108,0.384747289139337,7.05145637702697,18.5905091654158,8.50361172510539,1.92373644569668,35.2572818851348
"16","ReportingUnit.2","Two","RockCover.Eval","Unsuitable",81,96.2818981669168,1.70072234502108,92.948543622973,99.6152527108607,481.409490834584,8.50361172510539,464.742718114865,498.076263554303
"17","ReportingUnit.2","Two","RockCover.Eval","Total",86,100,NA,NA,NA,500,NA,NA,NA
"18","ReportingUnit.1","Rio Grande Del Norte NM","TotalFoliar.Eval","Marginal",29,21.4768423397777,3.35852816919268,14.8942480870968,28.0594365924586,164844,25778.1478656666,114319.758595145,215368.241404855
"19","ReportingUnit.1","Rio Grande Del Norte NM","TotalFoliar.Eval","Suitable",114,77.5788457454501,3.37597147990234,70.9620632320071,84.1956282588931,595451,25912.0327759868,544664.348992844,646237.651007156
"20","ReportingUnit.1","Rio Grande Del Norte NM","TotalFoliar.Eval","Unsuitable",2,0.944311914772202,0.607000029209546,0,2.13401011063767,7248,4658.98623419582,0,16379.4452234917
"21","ReportingUnit.1","Rio Grande Del Norte NM","TotalFoliar.Eval","Total",145,100,NA,NA,NA,767543,NA,NA,NA
"22","ReportingUnit.2","One","TotalFoliar.Eval","Marginal",10,23.283141821547,5.57936255636181,12.3477921543865,34.2184914887075,174.623563661603,41.8452191727136,92.608441157899,256.638686165306
"23","ReportingUnit.2","One","TotalFoliar.Eval","Suitable",48,75.8226009614149,5.61584163018666,64.8157536233683,86.8294482994614,568.669507210612,42.1188122263999,486.118152175262,651.220862245961
"24","ReportingUnit.2","One","TotalFoliar.Eval","Unsuitable",1,0.894257217038122,0.766494300730814,0,2.39655844082573,6.70692912778592,5.74870725548111,0,17.974188306193
"25","ReportingUnit.2","One","TotalFoliar.Eval","Total",59,100,NA,NA,NA,750,NA,NA,NA
"26","ReportingUnit.2","Two","TotalFoliar.Eval","Marginal",19,20.2449954529019,4.20163106056291,12.0099498978738,28.4800410079301,101.22497726451,21.0081553028145,60.049749489369,142.40020503965
"27","ReportingUnit.2","Two","TotalFoliar.Eval","Suitable",66,78.7765566962867,4.2277009494639,70.4904150979317,87.0626982946417,393.882783481434,21.1385047473195,352.452075489658,435.313491473209
"28","ReportingUnit.2","Two","TotalFoliar.Eval","Unsuitable",1,0.978447850811356,0.876872336424729,0,2.69708604924331,4.89223925405678,4.38436168212364,0,13.4854302462166
"29","ReportingUnit.2","Two","TotalFoliar.Eval","Total",86,100,NA,NA,NA,500,NA,NA,NA
"30","ReportingUnit.1","Rio Grande Del Norte NM","Gap200.Eval","Suitable",88,58.9944797881031,3.54739887145348,52.0417057612562,65.9472538149499,452808,27227.8117199202,399442.469651119,506173.530348881
"31","ReportingUnit.1","Rio Grande Del Norte NM","Gap200.Eval","Unsuitable",57,41.0055202118969,3.54739887145348,34.0527461850501,47.9582942387438,314735,27227.8117199202,261369.469651119,368100.530348881
"32","ReportingUnit.1","Rio Grande Del Norte NM","Gap200.Eval","Total",145,100,NA,NA,NA,767543,NA,NA,NA
"33","ReportingUnit.2","One","Gap200.Eval","Suitable",29,49.6892753399656,6.02959081640598,37.8714944982964,61.5070561816347,372.669565049742,45.2219311230448,284.036208737223,461.30292136226
"34","ReportingUnit.2","One","Gap200.Eval","Unsuitable",30,50.3107246600344,6.02959081640598,38.4929438183653,62.1285055017036,377.330434950258,45.2219311230448,288.69707863774,465.963791262777
"35","ReportingUnit.2","One","Gap200.Eval","Total",59,100,NA,NA,NA,750,NA,NA,NA
"36","ReportingUnit.2","Two","Gap200.Eval","Suitable",59,65.3403749438461,4.77741616126073,55.9768113286155,74.7039385590767,326.70187471923,23.8870808063036,279.884056643077,373.519692795384
"37","ReportingUnit.2","Two","Gap200.Eval","Unsuitable",27,34.6596250561539,4.77741616126073,25.2960614409233,44.0231886713845,173.29812528077,23.8870808063036,126.480307204617,220.115943356923
"38","ReportingUnit.2","Two","Gap200.Eval","Total",86,100,NA,NA,NA,500,NA,NA,NA
